"Slug","Prod URL","UAT URL"
"covid19-the-three-phases-of-recovery-in-manufacturing","https://business.moglix.com/blogs/covid19-the-three-phases-of-recovery-in-manufacturing","https://uat.business.moglilabs.com/blogs/covid19-the-three-phases-of-recovery-in-manufacturing"
"evolution-of-safety-gumboots-in-workplace-safety-a-comprehensive-guide","https://business.moglix.com/blogs/evolution-of-safety-gumboots-in-workplace-safety-a-comprehensive-guide","https://uat.business.moglilabs.com/blogs/evolution-of-safety-gumboots-in-workplace-safety-a-comprehensive-guide"
"common-types-of-safety-audits-what-are-they","https://business.moglix.com/blogs/common-types-of-safety-audits-what-are-they","https://uat.business.moglilabs.com/blogs/common-types-of-safety-audits-what-are-they"
"rethinking-procurement-how-e-procurement-solutions-outshine-traditional-erps","https://business.moglix.com/blogs/rethinking-procurement-how-e-procurement-solutions-outshine-traditional-erps","https://uat.business.moglilabs.com/blogs/rethinking-procurement-how-e-procurement-solutions-outshine-traditional-erps"
"top-10-industrial-mro-procurement-suppliers-and-companies-in-india-2026-focusing-on-moglix-b2b-procurement-player","https://business.moglix.com/blogs/top-10-industrial-mro-procurement-suppliers-and-companies-in-india-2026-focusing-on-moglix-b2b-procurement-player","https://uat.business.moglilabs.com/blogs/top-10-industrial-mro-procurement-suppliers-and-companies-in-india-2026-focusing-on-moglix-b2b-procurement-player"
"streamlining-procurement-the-power-of-p2p-automation","https://business.moglix.com/blogs/streamlining-procurement-the-power-of-p2p-automation","https://uat.business.moglilabs.com/blogs/streamlining-procurement-the-power-of-p2p-automation"
"complete-guide-to-sustainability-in-procurement","https://business.moglix.com/blogs/complete-guide-to-sustainability-in-procurement","https://uat.business.moglilabs.com/blogs/complete-guide-to-sustainability-in-procurement"
"top-5-advantages-e-procurement","https://business.moglix.com/blogs/top-5-advantages-e-procurement","https://uat.business.moglilabs.com/blogs/top-5-advantages-e-procurement"
"reimagining-supply-chains-the-power-of-emerging-technologies","https://business.moglix.com/blogs/reimagining-supply-chains-the-power-of-emerging-technologies","https://uat.business.moglilabs.com/blogs/reimagining-supply-chains-the-power-of-emerging-technologies"
"procurement-4-all-you-need-know","https://business.moglix.com/blogs/procurement-4-all-you-need-know","https://uat.business.moglilabs.com/blogs/procurement-4-all-you-need-know"
"can-india-emerge-as-a-key-player-in-global-manufacturing","https://business.moglix.com/blogs/can-india-emerge-as-a-key-player-in-global-manufacturing","https://uat.business.moglilabs.com/blogs/can-india-emerge-as-a-key-player-in-global-manufacturing"
"stepping-up-safety-a-comprehensive-guide-to-choosing-the-right-workplace-shoes","https://business.moglix.com/blogs/stepping-up-safety-a-comprehensive-guide-to-choosing-the-right-workplace-shoes","https://uat.business.moglilabs.com/blogs/stepping-up-safety-a-comprehensive-guide-to-choosing-the-right-workplace-shoes"
"forging-solutions-procurement-challenges-in-metal-industry","https://business.moglix.com/blogs/forging-solutions-procurement-challenges-in-metal-industry","https://uat.business.moglilabs.com/blogs/forging-solutions-procurement-challenges-in-metal-industry"
"top-10-power-transformer-manufacturing-companies-in-india-2026-types-prices-and-features-to-look-for","https://business.moglix.com/blogs/top-10-power-transformer-manufacturing-companies-in-india-2026-types-prices-and-features-to-look-for","https://uat.business.moglilabs.com/blogs/top-10-power-transformer-manufacturing-companies-in-india-2026-types-prices-and-features-to-look-for"
"the-future-of-industrial-safety-shoes-materials-and-design","https://business.moglix.com/blogs/the-future-of-industrial-safety-shoes-materials-and-design","https://uat.business.moglilabs.com/blogs/the-future-of-industrial-safety-shoes-materials-and-design"
"how-procurement-digitization-enhances-strategic-decision-making","https://business.moglix.com/blogs/how-procurement-digitization-enhances-strategic-decision-making","https://uat.business.moglilabs.com/blogs/how-procurement-digitization-enhances-strategic-decision-making"
"data-driven-supply-chain-financing-ushering-era-procure-to-pay","https://business.moglix.com/blogs/data-driven-supply-chain-financing-ushering-era-procure-to-pay","https://uat.business.moglilabs.com/blogs/data-driven-supply-chain-financing-ushering-era-procure-to-pay"
"5-ways-ceos-of-infra-project-developers-can-use-digital-technologies-to-augment-safety-at-road-construction-sites","https://business.moglix.com/blogs/5-ways-ceos-of-infra-project-developers-can-use-digital-technologies-to-augment-safety-at-road-construction-sites","https://uat.business.moglilabs.com/blogs/5-ways-ceos-of-infra-project-developers-can-use-digital-technologies-to-augment-safety-at-road-construction-sites"
